plot	age	hdom	ddom	dg	dn	n	SI
1	54.4	24.37	39.19	29.19	26.38	1089.3	24.1
5	39.33	20.53	37.85	29.85	27.85	881.1	21.59
9	46.6	24.6	48.58	40.05	35.37	493.4	24.89
21	54.6	21.91	40.98	32.82	29.89	753.4	21.67
48	43	23.89	40.35	34	32.2	671.9	24.57
52	54.4	25.84	39.29	28.84	24.92	1282.1	25.56
59	80	29.06	51.63	43.89	41.03	464.2	28.11
4	40.33	15.96	38.18	30.74	28.47	726.9	16.67
8	23	13.18	22.27	14.47	11.35	3229.5	17.88
22	59.83	20.26	43.11	35.35	32.53	644.6	19.86
34	34	15.6	28.03	19.78	17.74	2164.5	17.2
61	63.6	17.42	34.94	28.05	24.97	1183.8	17
72	98.4	20.14	56.32	46.97	41.26	420	19.43
12	47.8	11.32	25.51	16.73	13.6	2500.2	11.4
13	67.4	12.05	22.92	14.98	11.85	3143.8	11.72
14	45.4	13.15	19.34	12.99	11.09	2934.4	13.37
23	50.4	14.09	27.31	21.11	18.15	1356.1	14.07
25	69	10.91	39.95	23.42	12.67	2499.3	10.6
27	50.6	14	25.09	18.27	15.59	1393.8	13.97
32	64.6	11.39	36.12	29.76	27.05	523.4	11.11
40	33.8	13.27	21.37	16.08	14.47	1920.4	14.68
49	69	13.85	37.05	30.62	27.52	440.1	13.46
70	103.8	8.94	31.7	24.89	20.98	763.9	8.62
71	66.6	13.94	33.81	26.39	24.58	950.5	13.57
80	36.8	8.6	18.5	14.09	11.48	2428.9	9.23
