  plot     age    hdom    ddom      dg      dn       n      SI
     1   54.40   24.37   39.19   29.19   26.38  1089.3   24.10
     2   66.40    9.83   24.17   15.64   11.74  2144.2    9.57
     3   41.20   15.58   37.26   30.95   28.47   534.8   16.19
     4   40.33   15.96   38.18   30.74   28.47   726.9   16.67
     5   39.33   20.53   37.85   29.85   27.85   881.1   21.59
     6   24.80   18.92   36.39   28.90   25.80   857.9   24.44
     7   27.80   18.02   29.05   22.71   20.90  1348.4   21.78
     8   23.00   13.18   22.27   14.47   11.35  3229.5   17.88
     9   46.60   24.60   48.58   40.05   35.37   493.4   24.89
    10   32.00   15.41   25.47   19.86   16.44   748.0   17.41
    11   61.40   13.63   27.32   20.30   16.14   891.3   13.33
    12   47.80   11.32   25.51   16.73   13.60  2500.2   11.40
    13   67.40   12.05   22.92   14.98   11.85  3143.8   11.72
    14   45.40   13.15   19.34   12.99   11.09  2934.4   13.37
    15   40.00   16.00   25.38   18.54   14.84  2069.0   16.75
    16   57.40    9.50   23.49   18.42   13.87   622.5    9.34
    17   96.00   18.37   44.44   40.35   34.46   224.1   17.72
    18   76.00   20.83   47.13   39.22   34.82   453.6   20.17
    19   86.60   21.28   49.08   42.23   37.05   382.9   20.55
    20   55.20   17.01   34.77   27.85   23.22   565.9   16.80
    21   54.60   21.91   40.98   32.82   29.89   753.4   21.67
    22   59.83   20.26   43.11   35.35   32.53   644.6   19.86
    23   50.40   14.09   27.31   21.11   18.15  1356.1   14.07
    24   54.80   18.75   37.41   27.67   23.77  1018.6   18.53
    25   69.00   10.91   39.95   23.42   12.67  2499.3   10.60
    26   59.60   20.10   37.28   28.54   23.84   933.7   19.71
    27   50.60   14.00   25.09   18.27   15.59  1393.8   13.97
    28   49.00    9.84   19.32   12.34    9.96  2475.7    9.87
    29   90.20   15.66   50.57   50.54   34.46   275.0   15.12
    30   93.40   20.47   47.24   47.01   42.42   136.8   19.76
    31   82.20   18.29   51.51   44.80   41.52   302.4   17.69
    32   64.60   11.39   36.12   29.76   27.05   523.4   11.11
    33   30.00   13.47   23.72   17.94   14.66  1304.2   15.67
    34   34.00   15.60   28.03   19.78   17.74  2164.5   17.20
    35   35.00   15.83   29.21   23.81   21.36   806.4   17.28
    36   35.60   22.51   36.41   28.68   24.50   763.9   24.42
    37   16.20    9.16   15.77   12.42   10.62   634.1   16.61
    38   70.80   20.88   44.79   36.71   31.57   622.5   20.27
    39   59.60   20.80   40.71   33.56   30.55   473.6   20.40
    40   33.80   13.27   21.37   16.08   14.47  1920.4   14.68
    41   30.00   14.13   22.96   16.49   14.16  1867.8   16.44
    42   77.67   13.38   30.92   26.62   21.94   405.8   12.96
    43   64.80   16.89   34.50   27.04   23.79   778.1   16.47
    44   52.00   14.50   26.35   21.39   19.22   652.2   14.42
    45   32.20   14.42   30.24   21.18   17.55  1788.8   16.25
    46   33.00   17.53   25.07   18.93   16.92  1341.6   19.56
    47   43.20   22.68   31.71   25.74   23.77  1092.4   23.30
    48   43.00   23.89   40.35   34.00   32.20   671.9   24.57
    49   69.00   13.85   37.05   30.62   27.52   440.1   13.46
    50   77.00   13.81   39.07   34.05   30.71   300.9   13.37
    51  120.60   11.73   32.67   26.67   22.47   509.3   11.31
    52   54.40   25.84   39.29   28.84   24.92  1282.1   25.56
    54   81.40   15.64   35.18   24.28   18.91  1499.5   15.12
    59   80.00   29.06   51.63   43.89   41.03   464.2   28.11
    60   68.00   23.93   45.31   40.99   39.07   297.1   23.27
    61   63.60   17.42   34.94   28.05   24.97  1183.8   17.00
    68   30.00   20.18   34.35   29.55   28.05   684.0   23.48
    69   16.40   10.00   14.98   10.55    9.46  2200.7   17.91
    70  103.80    8.94   31.70   24.89   20.98   763.9    8.62
    71   66.60   13.94   33.81   26.39   24.58   950.5   13.57
    72   98.40   20.14   56.32   46.97   41.26   420.0   19.43
    80   36.80    8.60   18.50   14.09   11.48  2428.9    9.23
    81   39.40   20.06   39.61   31.66   29.67   707.4   21.08
    83   35.80   21.76   33.06   27.15   25.37   906.3   23.57
